run_time_utc,run_time_ist,imbalance,trade_flow,sentiment_score
2025-12-29 04:04:04.024171+00:00,2025-12-29 09:34:04.024180+05:30,0.2473641524736415,0.0,0.1484184914841849
2025-12-29 05:00:36.642818+00:00,2025-12-29 10:30:36.642828+05:30,-0.3162000917852225,0.0,-0.1897200550711335
2025-12-29 05:46:33.244544+00:00,2025-12-29 11:16:33.244555+05:30,-0.5226373626373626,0.0,-0.3135824175824175
2025-12-29 06:48:08.444834+00:00,2025-12-29 12:18:08.444841+05:30,-0.3109965635738831,0.0,-0.1865979381443299
2025-12-29 07:33:11.420368+00:00,2025-12-29 13:03:11.420376+05:30,-0.3214007782101167,0.0,-0.19284046692607
2025-12-29 07:55:11.290627+00:00,2025-12-29 13:25:11.290635+05:30,-0.3859375,0.0,-0.2315624999999999
2025-12-29 08:41:41.659447+00:00,2025-12-29 14:11:41.659456+05:30,-0.0768543342269883,0.0,-0.046112600536193
2025-12-29 09:03:05.057263+00:00,2025-12-29 14:33:05.057272+05:30,0.2878048780487804,0.0,0.1726829268292682
2025-12-29 09:46:18.372468+00:00,2025-12-29 15:16:18.372479+05:30,-0.4184300341296928,0.0,-0.2510580204778156
2025-12-29 10:32:28.714661+00:00,2025-12-29 16:02:28.714673+05:30,-0.4123376623376623,0.0,-0.2474025974025974
2025-12-29 10:57:19.885310+00:00,2025-12-29 16:27:19.885318+05:30,-0.4104569781803211,0.0,-0.2462741869081926
2025-12-29 11:28:06.841547+00:00,2025-12-29 16:58:06.841556+05:30,-0.4711538461538461,0.0,-0.2826923076923077
2025-12-29 11:45:38.837815+00:00,2025-12-29 17:15:38.837824+05:30,-0.0593406593406593,0.0,-0.0356043956043956
2025-12-29 13:01:02.573109+00:00,2025-12-29 18:31:02.573117+05:30,-0.1680860600627521,0.0,-0.1008516360376512
2025-12-29 13:50:31.083125+00:00,2025-12-29 19:20:31.083133+05:30,-0.3722839208112023,0.0,-0.2233703524867213
2025-12-29 14:30:08.985325+00:00,2025-12-29 20:00:08.985332+05:30,-0.506896551724138,0.0,-0.3041379310344828
2025-12-29 14:51:59.166420+00:00,2025-12-29 20:21:59.166428+05:30,-0.3173745173745174,0.0,-0.1904247104247104
2025-12-29 15:31:07.103328+00:00,2025-12-29 21:01:07.103338+05:30,0.0461725394896719,0.0,0.0277035236938031
2025-12-29 15:56:13.324934+00:00,2025-12-29 21:26:13.324942+05:30,-0.0699631772751183,0.0,-0.041977906365071
2025-12-29 16:36:38.469394+00:00,2025-12-29 22:06:38.469404+05:30,-0.03725782414307,0.0,-0.022354694485842
2025-12-29 16:58:44.884156+00:00,2025-12-29 22:28:44.884164+05:30,0.0298047276464542,0.0,0.0178828365878725
2025-12-29 17:28:42.770544+00:00,2025-12-29 22:58:42.770551+05:30,-0.0791705937794533,0.0,-0.047502356267672
2025-12-29 17:47:22.182688+00:00,2025-12-29 23:17:22.182697+05:30,-0.2868769074262461,0.0,-0.1721261444557477
2025-12-29 18:40:17.258691+00:00,2025-12-30 00:10:17.258700+05:30,-0.1257434154630416,0.0,-0.0754460492778249
2025-12-29 18:58:50.435480+00:00,2025-12-30 00:28:50.435488+05:30,-0.20658293633607622,0.0,-0.12394976180164573
