time_utc,open,high,low,close,volume
2024-12-22 18:00:00+00:00,181.563,183.963,181.078,181.84,15185.0
2024-12-22 19:00:00+00:00,181.78,182.13,177.7604,178.23,8561.0
2024-12-22 20:00:00+00:00,178.38,180.99,176.82,180.8,10035.0
2024-12-22 21:00:00+00:00,180.92,182.26,180.12,180.77,5433.0
2024-12-22 22:00:00+00:00,180.3,181.38,177.538,181.31,9769.0
2024-12-22 23:00:00+00:00,181.2,182.08,179.8,180.37,2665.0
2024-12-23 00:00:00+00:00,180.43,180.48,177.651,179.0,2152.0
2024-12-23 01:00:00+00:00,179.0,181.95,176.4,178.26,4864.0
2024-12-23 02:00:00+00:00,178.25,179.94,176.539,179.65,4503.0
2024-12-23 03:00:00+00:00,179.619,187.272,179.26,186.14,13801.0
2024-12-23 04:00:00+00:00,186.249,187.6,184.6734,184.6734,9009.0
2024-12-23 05:00:00+00:00,184.65,185.32,182.969,183.86,10887.0
2024-12-23 06:00:00+00:00,184.01,184.31,180.63,180.691,12455.0
2024-12-23 07:00:00+00:00,180.72,182.69,179.769,182.15,9809.0
2024-12-23 08:00:00+00:00,182.15,184.35,181.629,184.22,8551.0
2024-12-23 09:00:00+00:00,184.22,186.371,184.12,184.75,13114.0
2024-12-23 10:00:00+00:00,184.76,185.721,183.965,185.115,8186.0
2024-12-23 11:00:00+00:00,185.229,185.54,183.348,183.469,6747.0
2024-12-23 12:00:00+00:00,183.55,184.91,182.72,184.33,8732.0
2024-12-23 13:00:00+00:00,184.26,184.38,181.15,182.53,13272.0
2024-12-23 14:00:00+00:00,182.55,184.99,181.28,183.7,19955.0
2024-12-23 15:00:00+00:00,183.77,185.62,180.669,180.82,12005.0
2024-12-23 16:00:00+00:00,180.709,185.58,180.679,185.07,13598.0
2024-12-23 17:00:00+00:00,184.92,186.08,184.04,184.5,9787.0
2024-12-23 18:00:00+00:00,184.42,185.954,184.25,185.04,6747.0
2024-12-23 19:00:00+00:00,185.09,189.545,185.09,187.28,15032.0
2024-12-23 20:00:00+00:00,187.33,191.6,186.648,191.1,11283.0
2024-12-23 21:00:00+00:00,191.15,193.36,189.779,190.199,10896.0
2024-12-23 22:00:00+00:00,190.2,192.55,189.62,192.22,5041.0
2024-12-23 23:00:00+00:00,192.51,192.515,189.799,190.0,3124.0
2024-12-24 00:00:00+00:00,189.93,190.169,188.509,189.86,2686.0
2024-12-24 01:00:00+00:00,189.84,190.271,187.5,187.6,7541.0
2024-12-24 02:00:00+00:00,187.75,188.35,186.09,187.819,5563.0
2024-12-24 03:00:00+00:00,187.9,190.0,187.82,189.88,4139.0
2024-12-24 04:00:00+00:00,189.88,191.07,189.21,190.7447,6359.0
2024-12-24 05:00:00+00:00,190.9,191.76,190.5,191.69,6263.0
2024-12-24 06:00:00+00:00,191.6,191.84,189.919,190.158,6322.0
2024-12-24 07:00:00+00:00,190.22,191.45,189.409,191.39,7406.0
2024-12-24 08:00:00+00:00,191.45,193.33,190.92,192.68,10973.0
2024-12-24 09:00:00+00:00,192.7,193.84,191.16,192.448,11608.0
